scope,Gender,Season,arm,games,brier,baseline_brier,delta
main_draw_day136,W,2016,single_schedule_quality,63,0.1491955082877602,0.14946217863349998,-0.0002666703457397668
main_draw_day136,W,2016,single_seeded_win_rate,63,0.15518019312386452,0.14946217863349998,0.005718014490364548
main_draw_day136,W,2016,single_seeded_wins,63,0.15314984254123212,0.14946217863349998,0.003687663907732147
main_draw_day136,W,2017,baseline,63,0.13054242303569893,0.13054242303569893,0.0
main_draw_day136,W,2017,minimal,63,0.14324633276156054,0.13054242303569893,0.012703909725861606
main_draw_day136,W,2017,minimal_quality,63,0.13901004299566436,0.13054242303569893,0.008467619959965422
main_draw_day136,W,2017,single_away_quality_wins,63,0.12902860579030148,0.13054242303569893,-0.001513817245397453
main_draw_day136,W,2017,single_bad_loss_rate,63,0.1279761197579391,0.13054242303569893,-0.002566303277759835
main_draw_day136,W,2017,single_elite_win_rate,63,0.1304310272208583,0.13054242303569893,-0.00011139581484062577
main_draw_day136,W,2017,single_elite_wins,63,0.13029129466194228,0.13054242303569893,-0.00025112837375665387
main_draw_day136,W,2017,single_late_quality_wins,63,0.13001413228714104,0.13054242303569893,-0.0005282907485578969
main_draw_day136,W,2017,single_quality_margin,63,0.13196064408226443,0.13054242303569893,0.0014182210465654987
main_draw_day136,W,2017,single_quality_win_rate,63,0.130391948376211,0.13054242303569893,-0.00015047465948794803
main_draw_day136,W,2017,single_quality_wins,63,0.12989987438127526,0.13054242303569893,-0.0006425486544236747
main_draw_day136,W,2017,single_schedule_quality,63,0.12687457851690012,0.13054242303569893,-0.003667844518798813
main_draw_day136,W,2017,single_seeded_win_rate,63,0.1305291831747591,0.13054242303569893,-1.3239860939845416e-05
main_draw_day136,W,2017,single_seeded_wins,63,0.12998296704797727,0.13054242303569893,-0.0005594559877216687
main_draw_day136,W,2018,baseline,63,0.15611157244654633,0.15611157244654633,0.0
main_draw_day136,W,2018,minimal,63,0.16082403430038583,0.15611157244654633,0.0047124618538395
main_draw_day136,W,2018,minimal_quality,63,0.15773871348605856,0.15611157244654633,0.0016271410395122254
main_draw_day136,W,2018,single_away_quality_wins,63,0.15631123360633248,0.15611157244654633,0.0001996611597861464
main_draw_day136,W,2018,single_bad_loss_rate,63,0.15689217086464632,0.15611157244654633,0.0007805984180999925
main_draw_day136,W,2018,single_elite_win_rate,63,0.15615893129664193,0.15611157244654633,4.735885009560237e-05
main_draw_day136,W,2018,single_elite_wins,63,0.15638206855763653,0.15611157244654633,0.00027049611109020155
main_draw_day136,W,2018,single_late_quality_wins,63,0.15451239158921165,0.15611157244654633,-0.001599180857334681
main_draw_day136,W,2018,single_quality_margin,63,0.15693366667924546,0.15611157244654633,0.0008220942326991332
main_draw_day136,W,2018,single_quality_win_rate,63,0.15624455726865172,0.15611157244654633,0.00013298482210538642
main_draw_day136,W,2018,single_quality_wins,63,0.1551690786961406,0.15611157244654633,-0.0009424937504057262
main_draw_day136,W,2018,single_schedule_quality,63,0.1553527776280122,0.15611157244654633,-0.0007587948185341364
main_draw_day136,W,2018,single_seeded_win_rate,63,0.15613026239548602,0.15611157244654633,1.8689948939693002e-05
main_draw_day136,W,2018,single_seeded_wins,63,0.15481567166934845,0.15611157244654633,-0.001295900777197878
main_draw_day136,W,2019,baseline,63,0.12824426112654821,0.12824426112654821,0.0
main_draw_day136,W,2019,minimal,63,0.13103657033107838,0.12824426112654821,0.0027923092045301634
main_draw_day136,W,2019,minimal_quality,63,0.12395070628131297,0.12824426112654821,-0.004293554845235248
main_draw_day136,W,2019,single_away_quality_wins,63,0.1295775907164641,0.12824426112654821,0.0013333295899158881
main_draw_day136,W,2019,single_bad_loss_rate,63,0.1338260256317638,0.12824426112654821,0.005581764505215581
main_draw_day136,W,2019,single_elite_win_rate,63,0.12929611219861636,0.12824426112654821,0.0010518510720681495
main_draw_day136,W,2019,single_elite_wins,63,0.12752261914831714,0.12824426112654821,-0.0007216419782310746
main_draw_day136,W,2019,single_late_quality_wins,63,0.1238586107986126,0.12824426112654821,-0.004385650327935614
main_draw_day136,W,2019,single_quality_margin,63,0.12669479831033867,0.12824426112654821,-0.0015494628162095458
main_draw_day136,W,2019,single_quality_win_rate,63,0.12879682661034036,0.12824426112654821,0.0005525654837921501
main_draw_day136,W,2019,single_quality_wins,63,0.12574123274258042,0.12824426112654821,-0.0025030283839677925
main_draw_day136,W,2019,single_schedule_quality,63,0.1270694718738721,0.12824426112654821,-0.0011747892526761117
main_draw_day136,W,2019,single_seeded_win_rate,63,0.1281461301998677,0.12824426112654821,-9.813092668051193e-05
main_draw_day136,W,2019,single_seeded_wins,63,0.1256095056096862,0.12824426112654821,-0.002634755516862014
main_draw_day136,W,2021,baseline,63,0.15717714089375154,0.15717714089375154,0.0
main_draw_day136,W,2021,minimal,63,0.15265834173000337,0.15717714089375154,-0.004518799163748172
main_draw_day136,W,2021,minimal_quality,63,0.16065037928024134,0.15717714089375154,0.003473238386489802
main_draw_day136,W,2021,single_away_quality_wins,63,0.15797167739492296,0.15717714089375154,0.0007945365011714223
main_draw_day136,W,2021,single_bad_loss_rate,63,0.1561695084299625,0.15717714089375154,-0.0010076324637890433
main_draw_day136,W,2021,single_elite_win_rate,63,0.1600401944643771,0.15717714089375154,0.002863053570625551
main_draw_day136,W,2021,single_elite_wins,63,0.1609718563039983,0.15717714089375154,0.0037947154102467573
main_draw_day136,W,2021,single_late_quality_wins,63,0.16014368979478336,0.15717714089375154,0.002966548901031818
main_draw_day136,W,2021,single_quality_margin,63,0.15925457623417538,0.15717714089375154,0.0020774353404238444
