Architecture,Universe,Model,Gender,SeedGapBand,Rows,Brier,ConfidentWrongRate,MeanConfidence
separate_gender,rich,ridge_margin,M,9-12,52,0.16272042121933517,0.09615384615384616,0.8248585660487209
separate_gender,rich,ridge_margin,M,13+,40,0.0673895719168914,0.075,0.9597042371767396
separate_gender,rich,ridge_margin,W,0,5,0.3615621328199638,0.2,0.6736884846814297
separate_gender,rich,ridge_margin,W,1-2,64,0.2623745319977386,0.078125,0.687774037948729
separate_gender,rich,ridge_margin,W,3-5,102,0.2018903708336949,0.09803921568627451,0.7670296409249389
separate_gender,rich,ridge_margin,W,6-8,59,0.1558229293027487,0.13559322033898305,0.8571850979788611
separate_gender,rich,ridge_margin,W,9-12,45,0.02866790234023639,0.022222222222222223,0.909144641238794
separate_gender,rich,ridge_margin,W,13+,40,0.001229471238446174,0.0,0.9816958116230016
separate_gender,rich,seed_logistic,M,0,24,0.25,0.0,0.5
separate_gender,rich,seed_logistic,M,1-2,57,0.24834342730880032,0.0,0.5286990571440312
separate_gender,rich,seed_logistic,M,3-5,87,0.25124418088618977,0.0,0.6471112132415004
separate_gender,rich,seed_logistic,M,6-8,74,0.1761368990333658,0.0,0.7768799124940021
separate_gender,rich,seed_logistic,M,9-12,52,0.17787174369451414,0.23076923076923078,0.8409398279797572
separate_gender,rich,seed_logistic,M,13+,40,0.06915527867003371,0.075,0.9154499549418688
separate_gender,rich,seed_logistic,W,0,5,0.25,0.0,0.5
separate_gender,rich,seed_logistic,W,1-2,64,0.24961723758767135,0.0,0.5923405290548983
separate_gender,rich,seed_logistic,W,3-5,102,0.21494716371805161,0.08823529411764706,0.7489094799972102
separate_gender,rich,seed_logistic,W,6-8,59,0.1564425019684419,0.1694915254237288,0.868149669132145
separate_gender,rich,seed_logistic,W,9-12,45,0.025313889610870815,0.022222222222222223,0.919264173942201
separate_gender,rich,seed_logistic,W,13+,40,0.0009018554991161828,0.0,0.9716061236037132
separate_gender,rich,tensorflow_mlp,M,0,24,0.23875860762387932,0.0,0.6164862411096692
separate_gender,rich,tensorflow_mlp,M,1-2,57,0.2398049446128222,0.0,0.6184080654853269
separate_gender,rich,tensorflow_mlp,M,3-5,87,0.24816998086421965,0.05747126436781609,0.6611226958104934
separate_gender,rich,tensorflow_mlp,M,6-8,74,0.16498579699805857,0.05405405405405406,0.7537712802657405
separate_gender,rich,tensorflow_mlp,M,9-12,52,0.16670173079110168,0.09615384615384616,0.8293644967309844
separate_gender,rich,tensorflow_mlp,M,13+,40,0.07015441590507258,0.075,0.9509416167158633
separate_gender,rich,tensorflow_mlp,W,0,5,0.4134411741087879,0.2,0.6851201362907886
separate_gender,rich,tensorflow_mlp,W,1-2,64,0.261907373322084,0.078125,0.6746068457432557
separate_gender,rich,tensorflow_mlp,W,3-5,102,0.18749594285924784,0.08823529411764706,0.7605785424181936
separate_gender,rich,tensorflow_mlp,W,6-8,59,0.17003740952625315,0.15254237288135594,0.8726774869936565
separate_gender,rich,tensorflow_mlp,W,9-12,45,0.02692980460282311,0.022222222222222223,0.9356263895855389
