Gender,Architecture,Universe,Model,Feature,Block,OuterFolds,MeanCoefficient,MedianCoefficient,MeanAbsoluteCoefficient,CoefficientStd,PositiveRate,NegativeRate,SignConsistency
M,separate_gender,rich,ridge_margin,diff__massey__system_dun,massey_consensus,1,-0.3818328082561493,-0.3818328082561493,0.3818328082561493,,0.0,1.0,1.0
M,separate_gender,rich,ridge_margin,diff__compact__blowout_win10_rate,compact_performance,5,0.37411079257726665,0.3664551377296448,0.37411079257726665,0.18752470060481297,1.0,0.0,1.0
M,separate_gender,rich,ridge_margin,diff__massey__ordinal_std,massey_consensus,5,-0.36313454508781434,-0.3256119787693023,0.36313454508781434,0.0883588402343517,0.0,1.0,1.0
M,separate_gender,rich,ridge_margin,diff__rating__elo_standard_percentile,dynamic_ratings,5,-0.33370293378829957,-0.3338921070098877,0.33370293378829957,0.13791762106082103,0.0,1.0,1.0
M,separate_gender,rich,ridge_margin,diff__rating__pagerank_binary_z,global_strength_ratings,4,-0.3248818516731262,-0.33160001039505005,0.3248818516731262,0.03898204249504528,0.0,1.0,1.0
M,separate_gender,rich,ridge_margin,diff__massey__strength_iqr,massey_consensus,4,-0.3244115337729454,-0.32239140570163727,0.3244115337729454,0.12133259472239125,0.0,1.0,1.0
M,separate_gender,rich,ridge_margin,diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,5,0.32191210389137265,0.3040266931056976,0.3219121038913727,0.11181484885856498,1.0,0.0,1.0
M,separate_gender,rich,ridge_margin,diff__rating__bt_c0p25_z,global_strength_ratings,4,-0.30080520361661905,-0.29248847067356104,0.30080520361661905,0.02416043119862707,0.0,1.0,1.0
M,separate_gender,rich,ridge_margin,diff__compact__margin_q90,compact_performance,5,-0.30011155009269713,-0.3059225678443908,0.30011155009269713,0.17548239230479593,0.0,1.0,1.0
M,separate_gender,rich,ridge_margin,diff__massey__ordinal_max,massey_consensus,5,-0.11504171341657636,-0.153260588645935,0.2889078691601753,0.342245650066141,0.4,0.6,0.6
M,separate_gender,rich,ridge_margin,diff__compact__upside_tail_mean,compact_performance,5,-0.2882531851530075,-0.3070153295993805,0.2882531851530075,0.11586786855923092,0.0,1.0,1.0
M,separate_gender,rich,ridge_margin,diff__compact__margin_q25,compact_performance,5,-0.2483789380639791,-0.2637289762496948,0.24837893806397915,0.15610673964928737,0.0,1.0,1.0
M,separate_gender,rich,ridge_margin,diff__norm__rating__colley__z,within_season_normalization,5,0.24494782984256744,0.2429765164852142,0.24494782984256744,0.0824714095854657,1.0,0.0,1.0
M,separate_gender,rich,ridge_margin,diff__compact__home_margin_mean,compact_performance,5,0.2425275787711143,0.2413708269596099,0.24252757877111425,0.1166404803236695,1.0,0.0,1.0
M,separate_gender,rich,ridge_margin,diff__rating__elo_season_reset_mov_percentile,dynamic_ratings,5,-0.2419520765542984,-0.2130642384290695,0.2419520765542984,0.11879105042923414,0.0,1.0,1.0
M,separate_gender,rich,ridge_margin,diff__massey__system_rpi,massey_consensus,5,0.0449847973883152,0.0572923757135868,0.22260807529091836,0.26498018514536775,0.6,0.4,0.6
M,separate_gender,rich,ridge_margin,diff__compact__pythag_exp10p0,compact_performance,1,-0.2177151590585708,-0.2177151590585708,0.2177151590585708,,0.0,1.0,1.0
